Sample index,Multipacting max (uA),Pressure max (mBar),P transmise moy (W),NI9205_E1,NI9205_E2,NI9205_E3,NI9205_E4,NI9205_E5,NI9205_E6,NI9205_E7,NI9205_MP1l,NI9205_MP2l,NI9205_MP3l,NI9205_MP4l,NI9205_MP5l,NI9205_MP6l,NI9205_MP7l,NI9205_Power1,NI9205_Power2,NI9205_Arc1,NI9205_Penning1,NI9205_Penning2,NI9205_Penning,NI9205_MP8l,T1,T2,T3,T4
0,9.799,0.00000007257,3.872,21.19,0.02646,0.03556,0.03655,0.02768,0.02068,0.007237,9.799,9.47,8.814,10.46,9.142,8.486,10.78,22.27,10.79,0.883,0.00000007257,0.0000001281,0.004761,9.003,1413.08,1413.08,1413.08,1413.08
1,10.46,0.00000007257,11.55,21.36,0.02671,0.0359,0.03691,0.02791,0.0208,0.007294,10.46,9.799,9.47,11.11,9.47,9.47,11.11,22.59,11.12,0.9266,0.00000007257,0.0000001281,0.004761,9.003,1413.08,1413.08,1413.08,1413.08
2,10.78,0.00000007257,11.98,21.58,0.02697,0.03631,0.03726,0.0281,0.02103,0.007373,10.78,9.799,9.47,11.44,10.46,10.46,10.78,23.25,11.12,0.901,0.00000007257,0.0000001279,0.004761,8.838,1413.08,1413.08,1413.08,1413.08
3,11.44,0.00000007257,11.66,22.16,0.02756,0.03722,0.0383,0.02876,0.02159,0.007645,11.44,10.13,10.13,11.77,10.78,10.78,11.44,23.58,11.44,0.8859,0.00000007257,0.0000001279,0.004761,8.838,1413.08,1413.08,1413.08,1413.08
4,10.13,0.00000007242,12.28,22.37,0.0278,0.03759,0.03871,0.02902,0.0218,0.007706,10.13,9.142,8.157,9.47,9.142,8.157,9.799,24.89,11.77,0.8964,0.00000007242,0.0000001276,0.004761,8.182,1413.08,1413.08,1413.08,1413.08
5,10.78,0.00000007261,12.05,22.65,0.0281,0.03801,0.03919,0.02927,0.02206,0.007879,10.78,9.799,9.799,11.44,10.13,10.13,11.11,25.22,12.1,0.8705,0.00000007261,0.0000001278,0.004761,9.003,1413.08,1413.08,1413.08,1413.08
6,11.77,0.00000007249,12.89,22.97,0.02847,0.03861,0.03971,0.02978,0.02243,0.007873,11.77,10.46,9.47,10.13,9.47,9.47,10.78,25.55,12.1,0.902,0.00000007249,0.0000001281,0.004761,9.003,1413.08,1413.08,1413.08,1413.08
7,14.72,0.00000007238,12.63,23.22,0.02877,0.03907,0.04014,0.03,0.02266,0.007958,14.72,12.1,12.1,14.07,15.38,11.77,11.77,26.86,12.76,0.9467,0.00000007238,0.0000001278,0.004761,9.495,1413.08,1413.08,1413.08,1413.08
8,8.486,0.00000007238,14.15,23.55,0.02909,0.03966,0.04068,0.03031,0.02291,0.008059,8.486,7.501,7.501,8.814,8.814,8.157,9.799,26.86,13.08,0.8984,0.00000007238,0.0000001274,0.004761,8.346,1413.08,1413.08,1413.08,1413.08
9,10.13,0.00000007242,13.88,23.77,0.02943,0.04011,0.04124,0.03071,0.02328,0.008224,10.13,9.142,9.142,10.13,9.47,8.486,10.46,27.19,13.08,0.9302,0.00000007242,0.0000001276,0.004761,9.167,1413.08,1413.08,1413.08,1413.08
10,10.13,0.00000007253,14.61,24.04,0.0297,0.04057,0.04163,0.03111,0.02353,0.008234,10.13,9.799,9.47,11.11,9.47,9.799,11.11,27.84,13.41,0.882,0.00000007253,0.0000001277,0.004761,8.838,1413.08,1413.08,1413.08,1413.08
11,11.44,0.00000007246,14.56,24.27,0.03003,0.04096,0.04212,0.0315,0.02376,0.008293,11.44,10.46,9.799,11.77,10.78,10.46,11.11,28.5,13.74,0.8941,0.00000007246,0.0000001278,0.004761,8.674,1413.08,1413.08,1413.08,1413.08
12,10.78,0.00000007242,15.13,24.52,0.03028,0.0414,0.04262,0.03177,0.02396,0.008423,10.78,9.799,9.47,10.78,9.47,8.486,10.78,29.15,13.74,0.8909,0.00000007242,0.0000001276,0.004761,9.003,1413.08,1413.08,1413.08,1413.08
13,8.814,0.00000007226,14.67,24.88,0.03054,0.04185,0.043,0.03203,0.0242,0.008463,8.814,8.157,7.829,8.814,8.814,8.157,8.814,29.48,14.72,0.8692,0.00000007226,0.0000001272,0.004761,7.854,1413.08,1413.08,1413.08,1413.08
14,11.11,0.00000007257,15.29,25.03,0.03084,0.0423,0.04344,0.03239,0.02451,0.008551,11.11,9.799,10.13,11.77,10.78,10.13,11.44,30.14,14.4,0.9,0.00000007257,0.0000001277,0.004761,8.838,1413.08,1413.08,1413.08,1413.08
15,11.11,0.00000007246,15.51,25.29,0.03129,0.04284,0.04402,0.03279,0.02479,0.008678,11.11,10.46,9.799,10.78,9.47,8.814,11.11,30.46,14.4,0.9201,0.00000007246,0.0000001277,0.004761,8.674,1413.08,1413.08,1413.08,1413.08
16,9.142,0.00000007218,16.46,25.54,0.03155,0.04336,0.0444,0.03313,0.02498,0.008733,9.142,8.157,7.829,9.47,8.486,8.157,9.142,31.45,15.05,0.8833,0.00000007218,0.0000001274,0.004761,7.69,1413.08,1413.08,1413.08,1413.08
17,10.78,0.00000007238,16.23,25.8,0.03191,0.04377,0.04501,0.03354,0.02526,0.008831,10.78,10.13,10.13,11.44,10.78,9.799,11.11,31.78,15.38,0.8876,0.00000007238,0.0000001279,0.004761,9.003,1413.08,1413.08,1413.08,1413.08
18,11.11,0.00000007234,16.75,26.08,0.0323,0.04437,0.04558,0.03387,0.02554,0.008919,11.11,8.814,8.814,10.13,9.142,8.486,10.78,32.43,15.38,0.9066,0.00000007234,0.0000001277,0.004761,9.167,1413.08,1413.08,1413.08,1413.08
19,9.142,0.0000000721,17.01,26.42,0.03266,0.04474,0.046,0.03431,0.0258,0.009019,9.142,8.486,8.157,9.47,8.157,8.157,9.142,33.42,15.71,0.8649,0.0000000721,0.0000001271,0.004761,7.69,1413.08,1413.08,1413.08,1413.08
20,8.814,0.00000007214,17.6,26.63,0.03301,0.04517,0.04653,0.03458,0.02603,0.009102,8.814,7.829,8.157,9.47,8.157,8.157,9.142,34.4,16.36,0.8892,0.00000007214,0.0000001273,0.004761,7.854,1413.08,1413.08,1413.08,1413.08
21,11.11,0.00000007222,18.55,26.89,0.03331,0.04573,0.04694,0.03498,0.02626,0.009192,11.11,10.13,9.799,11.77,10.13,10.13,11.44,34.73,16.36,0.9476,0.00000007222,0.0000001275,0.004761,8.838,1413.08,1413.08,1413.08,1413.08
22,10.13,0.0000000723,18.35,27.2,0.03362,0.04615,0.04741,0.03529,0.02654,0.009292,10.13,9.47,9.47,10.46,8.814,9.47,11.11,35.38,16.36,0.8803,0.0000000723,0.0000001276,0.004761,9.003,1413.08,1413.08,1413.08,1413.08
23,8.814,0.00000007218,18.89,28.14,0.03461,0.04752,0.04885,0.03624,0.02719,0.009672,8.814,8.486,9.47,11.44,9.47,9.142,12.1,36.37,16.69,0.8771,0.00000007218,0.0000001274,0.004761,8.674,1413.08,1413.08,1413.08,1413.08
24,11.44,0.0000000721,19.16,28.34,0.03489,0.04785,0.04929,0.0366,0.02739,0.009749,11.44,10.13,9.47,11.11,10.13,8.814,9.47,38.01,17.68,0.883,0.0000000721,0.0000001272,0.004761,7.854,1413.08,1413.08,1413.08,1413.08
25,9.142,0.00000007203,20.34,28.66,0.03525,0.04844,0.04977,0.03695,0.02766,0.009827,9.142,8.157,8.157,9.799,8.814,7.829,9.47,38.66,18.33,0.9014,0.00000007203,0.0000001274,0.004761,7.69,1413.08,1413.08,1413.08,1413.08
26,10.78,0.00000007226,20.79,28.94,0.03561,0.04902,0.05034,0.03747,0.02795,0.009933,10.78,10.13,9.799,11.44,10.13,10.13,11.11,39.32,18.66,0.8981,0.00000007226,0.0000001277,0.004761,9.003,1413.08,1413.08,1413.08,1413.08
27,10.78,0.00000007218,21.09,29.48,0.03627,0.04996,0.05123,0.03804,0.02839,0.0101,10.78,10.13,10.13,11.11,10.78,9.799,11.44,39.97,18.66,0.943,0.00000007218,0.0000001277,0.004761,9.167,1413.08,1413.08,1413.08,1413.08
28,8.486,0.0000000721,21,29.68,0.03659,0.05026,0.05168,0.03844,0.0286,0.01022,8.486,7.501,7.501,9.142,9.142,8.486,11.11,41.29,19.64,0.9322,0.0000000721,0.0000001274,0.004761,8.674,1413.08,1413.08,1413.08,1413.08
29,9.47,0.00000007203,21.89,30.16,0.03701,0.05089,0.0524,0.03905,0.0289,0.01031,9.47,8.486,8.157,9.799,8.486,8.157,8.814,42.27,19.64,0.8748,0.00000007203,0.0000001272,0.004761,7.854,1413.08,1413.08,1413.08,1413.08
30,11.11,0.00000007218,22.27,30.45,0.03741,0.0515,0.05299,0.03941,0.02922,0.01045,11.11,9.799,9.142,10.78,9.47,8.814,9.142,43.58,19.64,0.9355,0.00000007218,0.0000001273,0.004761,8.346,1413.08,1413.08,1413.08,1413.08
31,8.486,0.0000000721,22.96,30.79,0.03785,0.05207,0.05363,0.03984,0.0295,0.01054,8.486,7.829,7.829,8.814,8.486,7.829,8.486,44.57,20.63,0.9191,0.0000000721,0.0000001269,0.004761,8.018,1413.08,1413.08,1413.08,1413.08
32,11.11,0.00000007207,23.39,31.16,0.03822,0.05263,0.05405,0.04031,0.02981,0.01063,11.11,9.799,9.799,11.11,8.814,8.814,10.46,45.22,20.95,0.9224,0.00000007207,0.0000001272,0.004761,8.838,1413.08,1413.08,1413.08,1413.08
33,8.157,0.00000007214,24.34,31.4,0.03868,0.05327,0.0547,0.04075,0.03006,0.01075,8.157,7.829,7.173,9.142,8.486,8.486,11.77,45.88,21.28,0.8685,0.00000007214,0.0000001271,0.004761,8.346,1413.08,1413.08,1413.08,1413.08
34,11.77,0.00000007199,24.29,31.75,0.03905,0.05363,0.05514,0.04114,0.03037,0.01086,11.77,9.799,9.47,11.77,10.46,9.799,9.799,46.21,21.61,0.9073,0.00000007199,0.0000001272,0.004761,8.182,1413.08,1413.08,1413.08,1413.08
35,8.814,0.0000000721,25.27,32.05,0.03946,0.05412,0.05582,0.04155,0.03057,0.01096,8.814,8.157,10.13,10.78,9.142,8.486,11.77,47.19,21.61,0.8784,0.0000000721,0.0000001273,0.004761,8.838,1413.08,1413.08,1413.08,1413.08
36,8.157,0.00000007203,25.53,32.44,0.03993,0.05475,0.05629,0.04197,0.03101,0.01106,8.157,7.501,7.501,8.814,8.814,8.157,9.142,48.5,22.27,0.8646,0.00000007203,0.0000001272,0.004761,8.346,1413.08,1413.08,1413.08,1413.08
37,10.13,0.00000007214,26.14,32.88,0.04052,0.05542,0.05724,0.04265,0.03137,0.01122,10.13,10.13,9.799,11.44,10.13,9.47,10.78,49.49,22.59,0.9023,0.00000007214,0.0000001272,0.004761,9.003,1413.08,1413.08,1413.08,1413.08
